batterID,dateTime,gamePk,appearance,result
657136,2025-03-27T20:05:00Z,778553,4,Lineout
678882,2025-03-27T20:05:00Z,778553,4,Strikeout
673962,2025-03-27T20:05:00Z,778553,4,Strikeout
592626,2025-03-27T20:05:00Z,778553,1,Lineout
543309,2025-03-27T20:05:00Z,778553,4,Flyout
607208,2025-03-27T20:05:00Z,778555,1,Strikeout
547180,2025-03-27T20:05:00Z,778555,1,Strikeout
664761,2025-03-27T20:05:00Z,778555,1,Groundout
682928,2025-03-27T20:05:00Z,778555,1,Strikeout
695578,2025-03-27T20:05:00Z,778555,1,Groundout
671277,2025-03-27T20:05:00Z,778555,1,Strikeout
656941,2025-03-27T20:05:00Z,778555,1,Single
592663,2025-03-27T20:05:00Z,778555,1,Strikeout
596146,2025-03-27T20:05:00Z,778555,1,Strikeout
605137,2025-03-27T20:05:00Z,778555,1,Strikeout
663993,2025-03-27T20:05:00Z,778555,1,Strikeout
657557,2025-03-27T20:05:00Z,778555,1,Strikeout
592206,2025-03-27T20:05:00Z,778555,1,Strikeout
681082,2025-03-27T20:05:00Z,778555,1,Strikeout
669016,2025-03-27T20:05:00Z,778555,1,Strikeout
660688,2025-03-27T20:05:00Z,778555,1,Single
686611,2025-03-27T20:05:00Z,778555,1,Lineout
696285,2025-03-27T20:05:00Z,778555,1,Grounded Into DP
607208,2025-03-27T20:05:00Z,778555,2,Groundout
547180,2025-03-27T20:05:00Z,778555,2,Strikeout
664761,2025-03-27T20:05:00Z,778555,2,Strikeout
682928,2025-03-27T20:05:00Z,778555,2,Flyout
695578,2025-03-27T20:05:00Z,778555,2,Walk
671277,2025-03-27T20:05:00Z,778555,2,Forceout
605137,2025-03-27T20:05:00Z,778555,2,Forceout
656941,2025-03-27T20:05:00Z,778555,2,Strikeout
592663,2025-03-27T20:05:00Z,778555,2,Strikeout
596146,2025-03-27T20:05:00Z,778555,2,Strikeout
663993,2025-03-27T20:05:00Z,778555,2,Strikeout
657557,2025-03-27T20:05:00Z,778555,2,Strikeout
660688,2025-03-27T20:05:00Z,778555,2,Home Run
686611,2025-03-27T20:05:00Z,778555,2,Flyout
592206,2025-03-27T20:05:00Z,778555,2,Lineout
681082,2025-03-27T20:05:00Z,778555,2,Pop Out
669016,2025-03-27T20:05:00Z,778555,2,Strikeout
696285,2025-03-27T20:05:00Z,778555,2,Walk
682928,2025-03-27T20:05:00Z,778555,3,Strikeout
695578,2025-03-27T20:05:00Z,778555,3,Groundout
607208,2025-03-27T20:05:00Z,778555,3,Lineout
547180,2025-03-27T20:05:00Z,778555,3,Home Run
664761,2025-03-27T20:05:00Z,778555,3,Strikeout
656941,2025-03-27T20:05:00Z,778555,3,Home Run
592663,2025-03-27T20:05:00Z,778555,3,Strikeout
671277,2025-03-27T20:05:00Z,778555,3,Double
605137,2025-03-27T20:05:00Z,778555,3,Pop Out
663993,2025-03-27T20:05:00Z,778555,3,Single
657557,2025-03-27T20:05:00Z,778555,3,Strikeout
660688,2025-03-27T20:05:00Z,778555,3,Groundout
596146,2025-03-27T20:05:00Z,778555,3,Double
592206,2025-03-27T20:05:00Z,778555,3,Single
681082,2025-03-27T20:05:00Z,778555,3,Strikeout
669016,2025-03-27T20:05:00Z,778555,3,Strikeout
607208,2025-03-27T20:05:00Z,778555,4,Walk
547180,2025-03-27T20:05:00Z,778555,4,Flyout
686611,2025-03-27T20:05:00Z,778555,3,Walk
696285,2025-03-27T20:05:00Z,778555,3,Hit By Pitch
682928,2025-03-27T20:05:00Z,778555,4,Groundout
695578,2025-03-27T20:05:00Z,778555,4,Strikeout
671277,2025-03-27T20:05:00Z,778555,4,Single
605137,2025-03-27T20:05:00Z,778555,4,Groundout
664761,2025-03-27T20:05:00Z,778555,4,Single
656941,2025-03-27T20:05:00Z,778555,4,Groundout
592663,2025-03-27T20:05:00Z,778555,4,Strikeout
596146,2025-03-27T20:05:00Z,778555,4,Walk
592206,2025-03-27T20:05:00Z,778555,4,Walk
681082,2025-03-27T20:05:00Z,778555,4,Flyout
663993,2025-03-27T20:05:00Z,778555,4,Strikeout
657557,2025-03-27T20:05:00Z,778555,4,Strikeout
660688,2025-03-27T20:05:00Z,778555,4,Groundout
669016,2025-03-27T20:05:00Z,778555,4,Strikeout
607208,2025-03-27T20:05:00Z,778555,5,Pop Out
547180,2025-03-27T20:05:00Z,778555,5,Walk
664761,2025-03-27T20:05:00Z,778555,5,Double
656941,2025-03-27T20:05:00Z,778555,5,Walk
592663,2025-03-27T20:05:00Z,778555,5,Triple
596146,2025-03-27T20:05:00Z,778555,5,Walk
592206,2025-03-27T20:05:00Z,778555,5,Forceout
686611,2025-03-27T20:05:00Z,778555,4,Groundout
696285,2025-03-27T20:05:00Z,778555,4,Strikeout
682928,2025-03-27T20:05:00Z,778555,5,Groundout
680757,2025-03-27T20:10:00Z,778558,1,Single
608070,2025-03-27T20:10:00Z,778558,1,Groundout
657041,2025-03-27T20:10:00Z,778558,1,Single
467793,2025-03-27T20:10:00Z,778558,1,Pop Out
700932,2025-03-27T20:10:00Z,778558,1,Walk
678877,2025-03-27T20:10:00Z,778558,1,Strikeout
663697,2025-03-27T20:10:00Z,778558,1,Flyout
677951,2025-03-27T20:10:00Z,778558,1,Strikeout
686469,2025-03-27T20:10:00Z,778558,1,Lineout
666310,2025-03-27T20:10:00Z,778558,1,Pop Out
672356,2025-03-27T20:10:00Z,778558,1,Strikeout
677587,2025-03-27T20:10:00Z,778558,1,Groundout
521692,2025-03-27T20:10:00Z,778558,1,Pop Out
686681,2025-03-27T20:10:00Z,778558,1,Single
592669,2025-03-27T20:10:00Z,778558,1,Flyout
669004,2025-03-27T20:10:00Z,778558,1,Strikeout
680757,2025-03-27T20:10:00Z,778558,2,Groundout
608070,2025-03-27T20:10:00Z,778558,2,Flyout
657041,2025-03-27T20:10:00Z,778558,2,Flyout
624415,2025-03-27T20:10:00Z,778558,1,Flyout
664728,2025-03-27T20:10:00Z,778558,1,Double
663697,2025-03-27T20:10:00Z,778558,2,Pop Out
677951,2025-03-27T20:10:00Z,778558,2,Single
686469,2025-03-27T20:10:00Z,778558,2,Home Run
521692,2025-03-27T20:10:00Z,778558,2,Strikeout
467793,2025-03-27T20:10:00Z,778558,2,Strikeout
700932,2025-03-27T20:10:00Z,778558,2,Triple
678877,2025-03-27T20:10:00Z,778558,2,Sac Fly
666310,2025-03-27T20:10:00Z,778558,2,Flyout
686681,2025-03-27T20:10:00Z,778558,2,Lineout
592669,2025-03-27T20:10:00Z,778558,2,Groundout
669004,2025-03-27T20:10:00Z,778558,2,Groundout
672356,2025-03-27T20:10:00Z,778558,2,Double
677587,2025-03-27T20:10:00Z,778558,2,Walk
680757,2025-03-27T20:10:00Z,778558,3,Sac Bunt
608070,2025-03-27T20:10:00Z,778558,3,Sac Fly
657041,2025-03-27T20:10:00Z,778558,3,Groundout
624415,2025-03-27T20:10:00Z,778558,2,Flyout
664728,2025-03-27T20:10:00Z,778558,2,Pop Out
663697,2025-03-27T20:10:00Z,778558,3,Flyout
467793,2025-03-27T20:10:00Z,778558,3,Single
700932,2025-03-27T20:10:00Z,778558,3,Home Run
